"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Harvard",67.0227,248,65.7781,245,99.5066,293,100.734,282,108.083,231,109.848,236,-9.11429,272
"2025","Hawaii",66.7334,263,65.3134,266,105.532,181,105.235,199,105.14,170,107.258,190,-2.02229,193
"2025","High Point",66.55,272,65.8824,237,119.958,10,117.141,36,105.72,185,110.527,252,6.61368,99
"2025","Hofstra",64.8559,335,63.4565,341,96.1849,328,99.3628,304,98.805,51,99.6674,58,-0.30459,173
"2025","Holy Cross",65.8019,307,65.7544,246,102.953,233,102.443,244,111.676,307,115.856,341,-13.4134,315
"2025","Houston",62.8939,360,61.0713,360,119.031,13,122.633,10,85.9314,1,87.0921,2,35.5411,2
"2025","Houston Christian",66.0947,290,65.7891,241,100.238,284,102.197,249,108.475,240,110.516,251,-8.3191,260
"2025","Howard",69.9885,97,68.5786,104,107.089,150,108.07,147,117.751,353,119.145,359,-11.0747,293
"2025","Idaho",66.8263,257,65.3898,262,107.895,133,108.377,136,114.141,334,115.881,342,-7.50454,247
"2025","Idaho St.",66.6986,265,64.9058,283,104.383,202,103.643,224,106.911,207,109.175,222,-5.53187,229
"2025","Illinois",73.9688,8,72.5209,8,115.176,38,118.819,24,93.1772,8,93.5027,12,25.3166,10
"2025","Illinois Chicago",69.0963,145,68.736,97,109.135,108,110.591,107,108.274,233,108.391,216,2.20052,140
"2025","Illinois St.",65.6656,314,64.4692,305,113.047,56,111.637,86,109.32,261,109.701,233,1.93592,144
"2025","Incarnate Word",66.175,287,65.3629,264,107.193,148,105.438,196,110.876,292,115.501,336,-10.0632,284
"2025","Indiana",70.2855,85,68.5315,107,109.351,103,113.826,64,103.572,123,100.259,70,13.5666,62
"2025","Indiana St.",73.3966,12,72.9302,4,105.141,186,106.425,178,111.382,301,111.861,279,-5.4352,227
"2025","Iona",69.7588,107,69.3823,65,97.5336,319,97.4849,331,101.815,97,106.196,162,-8.71147,265
"2025","Iowa",73.2149,18,70.8528,31,116.186,28,118.218,28,106.883,205,105.697,154,12.5219,66
"2025","Iowa St.",70.511,71,69.2476,70,117.776,17,121.747,12,93.6499,12,91.2376,6,30.5094,5
"2025","IU Indy",66.2908,283,64.8094,289,107.192,149,105.567,194,115.942,345,119.144,358,-13.5765,317
"2025","Jackson St.",71.7559,36,69.0881,76,92.0726,355,97.7288,328,110.939,293,108.063,210,-10.3343,287
"2025","Jacksonville",69.1373,143,67.8295,148,101.861,259,102.923,234,101.357,87,101.289,80,1.63482,149
